,English,Arabic,Russian,Spanish,WikiData_id,Entity_name,Occupation_name,Perceived_gender,url
10,"Erika Villaécija García , known as Erika Villaécija, is a three-time Olympic swimmer from Spain.",إيريكا فِيّائِثيخا غارثيا، معروفة بإيريكا فِيّائِثيخا، سبّاحة أولمبية إسبانية لثلاث مرات.,"Эрика Вильяэсиха Гарсиа, также известная под именем Эрика Вильяэсиха,  — пловчиха из Испании, трижды Олимпийская чемпионка.","Erika Villaécija García , conocida como Erika Villaécija,  es una nadadora de España que ha sido tres veces olímpica.​",Q264333,Erika Villaécija,['swimmer'],female,https://en.wikipedia.org/wiki/Erika_Villa%C3%A9cija
11,"Emma McKeon, OAM  is an Australian competitive swimmer.",إيما مكيون OAM هي سباحة أسترالية منافسة.,"Эмма Маккеон, ОАМ,  — австралийская соревновательная пловчиха.","Emma McKeon, OAM  es una nadadora de competición australiana.​",Q14638241,Emma McKeon,['swimmer'],female,https://en.wikipedia.org/wiki/Emma_McKeon
12,"At the 2008 Summer Olympics in Beijing, she won bronze in the 800 metre freestyle competition.",في دورة الألعاب الأولمبية الصيفية 2008 في بكين، فازت بالميدالية البرونزية في سباق 800 متر سباحة حرة.,На Летних Олимпийских играх 2008 в Пекине она выиграла бронзу в соревновательном заплыве на 800 метров вольным стилем.,En los Juegos Olímpicos de Verano de Pekín 2008 ganó la medalla de bronce en los 800 metros libres.​,Q272920,Lotte Friis,['swimmer'],female,https://en.wikipedia.org/wiki/Lotte_Friis
13,"Rachele Bruni  is an Italian swimmer, specialising in open water long-distance races.",راشيل بروني هي سباحة إيطالية، متخصصة في سباقات المسافات الطويلة في المياه المفتوحة.,"Ракеле Бруни  — итальянская пловчиха, специализирующаяся на плавании в открытой воде.",Rachele Bruni  es una nadadora italiana especializada en pruebas de aguas abiertas.,Q3928569,Rachele Bruni,['swimmer'],female,https://en.wikipedia.org/wiki/Rachele_Bruni
14,"At the 2012 Summer Olympics in London, she competed in the Women's 100 metre backstroke, finishing in 8th place in the final.",في الألعاب الأولمبية الصيفية 2012 في لندن، نافست في سباق 100 متر ظهر للسيدات، وأنهت السباق في المركز الثامن في التصفيات النهائية.,"В 2012 году приняла участие в Олимпийских играх в Лондоне, но стала лишь 8-й на дистанции 100 м на спине.","Durante los Juegos Olímpicos de Verano de Londres 2012, compitió en los 100 metros de estilo espalda de la categoría femenina, finalizando en el octavo puesto.",Q5506862,Fu Yuanhui,['swimmer'],female,https://en.wikipedia.org/wiki/Fu_Yuanhui
15,Jennifer Beth Thompson  is an American former competition swimmer and anesthesiologist.,جيني بيث تومبسون هي سباحة تنافسية أمريكية وطبيبة تخدير سابقة.,Дженнифер «Дженни Бет» Thompson — бывшая американская соревновательная пловчиха и анестезиолог.,Jennifer Beth Thompson  es una nadadora de competición americana y anestesióloga.,Q231011,Jenny Thompson,['swimmer'],female,https://en.wikipedia.org/wiki/Jenny_Thompson
16,"Madison Maree Wilson, OAM  is an Australian competitive swimmer who has participated in backstroke and freestyle events in the FINA world championships.",ماديسون ويلسون OAM هي سباحة أسترالية تنافس في مسابقات السباحة ظهرا وحرة في بطولات الاتحاد الدولي.,"Мэдисон Мари Уилсон  — австралийская пловчиха, участвовавшая в соревнованиях по плаванию на спине и вольным стилем в мировых чемпионатах FINA.",Madison Maree Wilson  es una nadadora de competición australiana que participó en el estilo espalda y libre en los campeonatos mundiales FINA.​,Q20754732,Madison Wilson,['swimmer'],female,https://en.wikipedia.org/wiki/Madison_Wilson
17,"In 2012, she represented Syria in the 2012 FINA World Swimming Championships  200 metre individual medley, 200 metre freestyle and 400 metre freestyle events.",مثلت سورية في بطولات الاتحاد الدولي للسباحة العالمية عام 2012، في مسابقات 200 متر فردي متنوع و200 متر حرة و400 متر حرة.,"Она представляла Сирию на чемпионате мира FINA 2012 года по плаванию на дистанции 200 метров вольным стилем, 200 метров вольным стилем  и 400 метров вольным стилем.","En 2012, representó a Siria en los Campeonatos Mundiales de Natación FNA en los 200 metros individuales, 200 metros estilo libre y 400 metros estilo libre.​",Q23701408,Yusra Mardini,['swimmer'],female,https://en.wikipedia.org/wiki/Yusra_Mardini
18,"After the motor stopped working and the dinghy began to take on water in the Aegean Sea, Yusra, her sister, Sara, and two other people who were able to swim got into the water and pushed and pulled the boat through the water for over 3 hours until the group reached Lesbos.",تعطّل المحرك الذي كان سيوصلهما وبدأ القارب في امتصاص المياه في بحر إيجه، فأضطرت يسرى وأختها وشخصان آخرين أن يسبحوا لدفع وسحب القارب لمدة ثلاث ساعات وإيصاله إلى شاطئ لسبوس.,"Когда мотор заглох и лодка начала тонуть посреди Эгейского моря, Юсра с сестрой и еще двое людей, единственные, кто умел плавать, тянули и толкали лодку в течение 3 часов, пока группа не достигла Лесбоса.","El motor de la embarcación se paró y empezaron a hundirse lentamente en el Mar Egeo, Yusra, su hermana, Sara junto con otras dos personas que también sabían nadar se metieron en el agua y empujaron el bote durante tres horas, hasta alcanzar Lesbos.",Q23701408,Yusra Mardini,['swimmer'],female,https://en.wikipedia.org/wiki/Yusra_Mardini
19,Salim Iles  is an Algerian swimmer who competes in the freestyle events.,سليم اٍيلاس سباح جزائري يتنافس في مسابقات السباحة الحرة.,"Салим Ильес  — алжирский пловец, участвующий в соревнованиях волным стилем.",Salim Iles  es un nadador argelino que compite en pruebas de estilo libre.,Q2713887,Salim Iles,['swimmer'],male,https://en.wikipedia.org/wiki/Salim_Iles
20,Vladislav Aminov  is a Russian former swimmer who competed in the 2000 Summer Olympics.,فلاديسلاف أمينوف ‏ هو سبّاح روسي، مثّل بلاده في الألعاب الأولمبية الصيفية 2000.,"Владисла́в Ви́кторович Ами́нов  — бывший российский пловец, участник летних Олимпийских игр 2000 года.",Vladislav Aminov  es un nadador ruso retirado que compitió en los Juegos Olímpicos de Verano del 2000.,Q1152914,Vladislav Aminov,['swimmer'],male,https://en.wikipedia.org/wiki/Vladislav_Aminov
21,Kosuke Kitajima  is a Japanese retired breaststroke swimmer.,كوسوكي كيتاجيما هو لاعب أولمبي متفاعد لرياضة السباحةعلي الصدر في اليابان.,Косукэ Китадзима  — ушедший из большого спорта японский пловец-брассист.,Kosuke Kitajima   es un nadador japonés de braza retirado.,Q312690,Kosuke Kitajima,['swimmer'],male,https://en.wikipedia.org/wiki/Kosuke_Kitajima
22,"With no competition-sized pool being available in Palestine, he prepared for the Olympic Games in Barcelona for a period of 4 months.",بسبب عدم توفّر مسبح بحجم المنافسة في فلسطين، فقد استمر في التدريب لمدة أربع أشهر استعداداً لأولمبياد برشلونة.,"Из-за отсутствия соответствующих возможностей в Палестине, подготовку к участию в Олимпиаде он прошел в течение четырёх месяцев в Барселоне, Испания.","A falta de instalaciones adecuadas en Palestina, entrenó para los Juegos Olímpicos en Barcelona, España, por un período de cuatro meses.​",Q4695826,Ahmed Gebrel,['swimmer'],male,https://en.wikipedia.org/wiki/Ahmed_Gebrel
23,Kazuo Tomita   is a Japanese swimmer and Olympic medalist.,كازو توميتا هو سباح ياباني وحاصل على ميدالية أولمبية.,"Кадзуо Томита  — японский пловец, призёр Олимпийских игр.",Kazuo Tomita  es un nadador japonés y medallista olímpico.,Q3814190,Kazuo Tomita,['swimmer'],male,https://en.wikipedia.org/wiki/Kazuo_Tomita
24,Kristóf Rasovszky  is a Hungarian Olympic swimmer.,كريستوف راسوفسكي سباح أولمبي مجري.,"Криштоф Рашовски  — венгерский пловец, Олимпийский чемпион.",Kristóf Rasovszky  es un nadador olímpico húngaro .​,Q24814733,Kristóf Rasovszky,['swimmer'],male,https://en.wikipedia.org/wiki/Krist%C3%B3f_Rasovszky
25,Nobuo Arai   was a Japanese swimmer who competed at the 1928 Summer Olympics in Amsterdam.Arai was a member of the Japanese team which won the silver medal for the 4 × 200 meter freestyle relay event at the 1928 Amsterdam Olympics.,نوبو أراي، هُو سباح ياباني شارك في دورة الألعاب الاولمبية الصيفية عام 1928 في أمستردام. كان أراي عضوًا في الفريق الياباني الذي فاز بالميدالية الفضية في سباق التتابع الحر 4 × 200 متر في أولمبياد أمستردام عام 1928,"Нобуо Араи был японским пловцом, который участвовал в  Олимпийских играх в Амстердаме 1928 года. Он был членом японской команды, которая завоевала серебряную медаль в эстафете 4×200 м вольным стилем.",Nobuo Arai  fue un nadador japonés que compitió en los Juegos Olímpicos de Verano de 1928 en Amsterdam. Arai fue miembro del equipo japonés que ganó la medalla de plata en los 4x200 metros de estilo libre en relevo en el evento de los Juegos Olímpicos de 1928 en Amsterdam.​​,Q2487339,Nobuo Arai,['swimmer'],male,https://en.wikipedia.org/wiki/Nobuo_Arai
26,Mikhail Dzhavanchirovich Dovgalyuk  is a Russian swimmer.,ميخائيل دوفجاليوك ‏ هو سبّاح روسي.,Михаил Джаванчирович Довгалюк — русский пловец.,Mijaíl Dzhavanchirovich Dovgaliuk es un nadador ruso.,Q26250653,Mikhail Dovgalyuk,['swimmer'],male,https://en.wikipedia.org/wiki/Mikhail_Dovgalyuk
27,He competed in the men's 4 × 200 metre freestyle relay event at the 2016 Summer Olympics.,شارك في حدث التتابع الحر 4 × 200 متر للرجال في الألعاب الأولمبية الصيفية لعام 2016.,Он участвовал в эстафете 4×200 метров вольным стиле в Олимпийских играх 2016 года.,Participó en el relevo masculino 4 X 200 metros en estilo libre en los Juegos Olímpicos de Verano de 2016.,Q26250653,Mikhail Dovgalyuk,['swimmer'],male,https://en.wikipedia.org/wiki/Mikhail_Dovgalyuk
28,"Liliana Gafencu  is a Romanian rower, who has won three Olympic gold medals in the eights competition.",ليليانا غافينكو هي لاعبة أولمبية لرياضة تجديف من رومانيا، فازت بثلاث ميداليات ذهبية أولمبية في مسابقة الثماني.,"Лильяна Гафенку  — румынская гребчиха, трёхкратная олимпийская чемпионка в 8 соревнованиях.","Liliana Gafencu  es una remera de Rumanía, que ha ganado tres oros olímpicos en la especialidad de ocho.",Q446666,Liliana Gafencu,['rower'],female,https://en.wikipedia.org/wiki/Liliana_Gafencu
29,Constance Sutton Titus  was an American rower who competed in the 1904 Summer Olympics.,كونستانس تيتوس ‏ هو مجدف أمريكي، شارك في دورة الألعاب الأولمبية الصيفية لعام 1904.,"Констанс Саттон Титус  — американский гребец, участник летних Олимпийских игр 1904.",Constance Sutton Titus  fue un remero estadounidense que compitió en los Juegos Olímpicos de 1904.,Q2447527,Constance Titus,['rower'],male,https://en.wikipedia.org/wiki/Constance_Titus
30,Elagabalus gave her the title of Augusta.,أعطاها إيل جبل لقب أوغستا.,Элагабалус дала ей титул Августы.,Heliogábalo le dio el título de Augusta.,Q241466,Annia Faustina,['ruler'],female,https://en.wikipedia.org/wiki/Annia_Faustina
31,James and Violant had ten children:,كان لـخايمي و فيولانتي عشرة أبناء:-,У Хайме и Иоланды родилось 10 детей:,Violante y Jaime I tuvieron diez hijos:​,Q51779,Violant of Hungary,['ruler'],female,https://en.wikipedia.org/wiki/Violant_of_Hungary
32,"At that same time Constantius took to wife Faustina, having long since lost Eusebia.",في ذلك الوقت نفسه تزوج قسطنطين فوستينا بعد أن فقد زوجته منذ فترة طويلة.,"«В это же время Констанций принял жену Фаустину, давно потеряв Евсевию».","«En aquella época Constancio tomó como esposa a Faustina, habiendo perdido hace tiempo a Eusebia».​",Q63533,Faustina,['ruler'],female,https://en.wikipedia.org/wiki/Faustina_(wife_of_Constantius_II)
33,"Eutropia  , a woman of Syrian origin, was the wife of Emperor Maximian.",يوتروبيا سيدة أصل سوري، كانت زوجة الإمبراطور ماكسيميان.,"Евтропия, сирийского происхождения, была женой римского императора Максимиана.","Eutropia  fue una emperatriz romana consorte, esposa del emperador Maximiano.",Q45530,Eutropia,['ruler'],female,https://en.wikipedia.org/wiki/Eutropia
34,He was the son of Abd al-Haqq I and the brother of Uthman I.,هو ابن عبد الحق الأول وشقيق عثمان الأول.,Мухаммад был сыном Абд аль-Хакка I и братом Усмана I.,Él era el hijo de Abd al-Haqq I y hermano de Uthman I .,Q658524,Muhammad ibn Abd Al-Haqq,['ruler'],male,https://en.wikipedia.org/wiki/Muhammad_ibn_Abd_Al-Haqq
35,"After the death of Emperor Louis IV, the Bavarian party tried to move him to the acceptance of the German crown, however, he mistrusted the inconstancy of his voters and rejected such strange request in favour of Charles IV.",بعد وفاة الإمبراطور لويس الرابع، حاول الحزب البافاري نقله إلى قبول التاج الألمانية، ومع ذلك، قال انه لا يثق في تقلب من ناخبيه، ورفض هذا الطلب الغريب لصالح كارل الرابع لوكسمبورغ.,"После смерти императора Людовика Баварского в 1347 году Фридриху была предложена германская корона, но он не доверял непостоянности своих избирателей и отказался в пользу Карла IV, с которым заключил союз.","Tras la muerte del emperador Luis IV, el partido bávaro intentó obligarle a que aceptara la corona alemana, sin embargo, desconfiaba de la inconstancia de sus votantes y rechazó esta extraña petición en favor de Carlos IV.",Q695279,Frederick II,['ruler'],male,"https://en.wikipedia.org/wiki/Frederick_II,_Margrave_of_Meissen"
36,Badi' al-Zaman Mirza  was a Timurid ruler of Herat from 1506 to 1507.,بديع الزمان ميرزا كان حاكم تيموري لهرات من 1506 إلى 1507.,Бади аз-Заман Мирза  был правителем Герата в 1506—1507 годах.,Badi' az-Zaman Mirza  fue el gobernador timúrida de Herat desde 1506 a 1507.,Q1136595,Badi' al-Zaman Mirza,['ruler'],male,https://en.wikipedia.org/wiki/Badi%27_al-Zaman_Mirza
37,Anaxandridas I   was king of Sparta and a member of the Eurypontid dynasty.,أناكساندريداس الأول هو ملك أسبرطة وعضوا سلالة يوريبونتيد.,Анаксандрид  — правивший в VII веке до н. э. царь Спарты из рода Эврипонтидов,"Anaxándridas I, rey de Esparta , perteneciente a la dinastía de los Euripóntidas.",Q488567,Anaxandridas I,['ruler'],male,https://en.wikipedia.org/wiki/Anaxandridas_I
38,"Although it was rumored that Hogg had a sister named ""Ura Hogg"", she had only brothers.","على الرغم من الإشاعات حول وجود أخت لهوغ تدعى "" يورا هوغ"" فإيما لم تحظى إلا بإخوة ذكور.","Хотя ходили слухи, что у неё была сестра по имени «Юра Хогг» , на самом деле у неё были только братья.","Aunque hubo rumores de que Hogg tenía una hermana llamada ""Ura Hogg"", ella sólo tenía hermanos.",Q459784,Ima Hogg,['art collector'],female,https://en.wikipedia.org/wiki/Ima_Hogg
39,"After her father's death in 1906, she traveled to Europe and spent two years studying music under Xaver Scharwenka in Vienna.",وبعد وفاة والدها في 1906، سافرت إلى أوروبا وقضت عامين في دراسة الموسيقى على يد خافيير شوارنكا في فيينا.,После смерти отца в 1906 году отправилась в Европу и в течение двух лет изучала музыку под руководством  Франца Шарвенки в Вене.,"Tras la muerte de su padre en 1906, viajó a Europa y pasó dos años estudiando música con Xaver Scharwenka en Viena.",Q459784,Ima Hogg,['art collector'],female,https://en.wikipedia.org/wiki/Ima_Hogg
40,"When she returned to Texas, she established and managed the Houston Symphony Orchestra and served as president of the Symphony Society.",وعندما عادت إلى تكساس، قامت بتأسيس وإدارة أوركسترا هيوستن للسيمفونيات، وترأست أيضًا مُجتمع السيمفونيات.,После возвращения в Техас создала Хьюстонский симфонический оркестр и управляла им; также занимала пост президента симфонического общества.,"Al regresar a Texas, crea y dirige la Orquesta Sinfónica de Houston y se desempeña como presidente de la Sociedad Sinfónica.",Q459784,Ima Hogg,['art collector'],female,https://en.wikipedia.org/wiki/Ima_Hogg
41,"Hogg's father left public office in 1895, and soon after, her mother was diagnosed with tuberculosis.",ترك والد هوغ العمل العام في 1895 وبعدها بفترة وجيزة تم تشخيص والدتها بمرض السل.,"В 1895 году отец покинул государственную службу, и вскоре после этого матери был поставлен диагноз — туберкулёз.","El padre de HOgg dejó la función pública en 1895, y poco después, a su madre se le diagnosticó tuberculosis.",Q459784,Ima Hogg,['art collector'],female,https://en.wikipedia.org/wiki/Ima_Hogg
42,"On 24 December, the Imperial Family received official news that they had been banished forever from the country.",وفي الرابع والعشرين من ديسمبر تلقّت العائِلة الإمبراطوريّة أخبارًا رسميّة بنفيهم خارج البلاد وللأبد.,"24 декабря королевская семья получила официальное известие о том, что им навсегда воспрещён въезд на территорию Бразилии.","El 24 de diciembre, la pareja imperial recibió una terrible noticia oficial que eran desterrados eternamente del país.",Q209353,Teresa Cristina of the Two Sicilies,['art collector'],female,https://en.wikipedia.org/wiki/Teresa_Cristina_of_the_Two_Sicilies
43,Augustus married Kristiane Eberhardine of Brandenburg-Bayreuth in Bayreuth on 20 January 1693.,تزوج أغسطس كريستين ايبرهاردين من براندنبورغ-بايرويت في بايرويت في 20 يناير عام 1693.,Август женился на Кристине Эбергардине Бранденбург-Байрейтской 20 января 1693 года.,Augusto se casó con Kristiane Eberhardine de Brandeburgo-Bayreuth en Bayreuth el 20 de enero de 1693.,Q53437,Augustus II the Strong,['art collector'],male,https://en.wikipedia.org/wiki/Augustus_II_the_Strong
44,"As the second son, Augustus had no expectation of inheriting the electorate, since his older brother, Johann Georg IV, assumed the post after the death of their father on 12 September 1691.",بصفته الابن الثاني، لم يتوقع أغسطس وراثة الحكم، منذ أن تولى شقيقه الأكبر، يوهان غيورغ الرابع، المنصب بعد وفاة والدهما في 12 سبتمبر عام 1691.,"Как младший сын, Август не имел прав на управление курфюршеством, и Иоганн Георг IV занял место их отца после его смерти 12 сентября 1691 года.","Como el segundo hijo, Augustus no tenía expectativas de heredar el electorado, ya que su hermano mayor, Johann Georg IV , asumió el cargo después de la muerte de su padre el 12 de septiembre de 1691.",Q53437,Augustus II the Strong,['art collector'],male,https://en.wikipedia.org/wiki/Augustus_II_the_Strong
45,"Augustus was born in Dresden on 12 May 1670, the younger son of the Elector Johann Georg III and Anne Sophie of Denmark.",ولد أغسطس في درسدن في 12 مايو عام 1670، كان الابن الأصغر للناخب يوهان غيورغ الثالث وآنا صوفي أميرة الدنمارك.,Август родился в Дрездене и был вторым сыном Иоанна Георга III и Анны Софии Датской.,"Augustus nació en Dresde el 12 de mayo de 1670, hijo menor del elector Johann Georg III y Anne Sophie de Dinamarca.",Q53437,Augustus II the Strong,['art collector'],male,https://en.wikipedia.org/wiki/Augustus_II_the_Strong
46,"They had a son, Frederick Augustus II , who succeeded his father as Elector of Saxony and King of Poland as Augustus III.",كان لديهم ابنًا، فريدرش أغسطس الثاني ، خلف والده ناخب ساكسونيا وملك بولندا بلقب أغسطس الثالث.,"У них был сын Фридрих Август II , который наследовал у своего отца титул саксонского курфюрста и польского короля Августа III.","Tuvieron un hijo, Federico Augusto II , que sucedió a su padre como Elector de Sajonia y Rey de Polonia como Augusto III.",Q53437,Augustus II the Strong,['art collector'],male,https://en.wikipedia.org/wiki/Augustus_II_the_Strong
47,"In Dresden on 25 April 1582, Christian married Sophie, daughter of John George, Elector of Brandenburg.",في درسدن، في 25 أبريل 1582 تزوج كريستيان من صوفي ابنة جون جورج، ناخب براندنبورغ.,"25 апреля 1582 года в Дрездене Кристиан женился на Софии Бранденбургской, дочери курфюрста Бранденбурга Иоганна Георга.","En Dresde, el 25 de abril del año 1582 contrajo matrimonio con Sofía de Brandeburgo, hija de Juan Jorge, votante de Brandeburgo.",Q705358,"Christian I, Elector of Saxony",['art collector'],male,"https://en.wikipedia.org/wiki/Christian_I,_Elector_of_Saxony"
48,Isabelle Boéri-Bégard  is a French fencer.,إيزابيل بيغارد هي مبارزة بالسيف فرنسية.,Изабелль Боэри-Бегар  — французская фехтовальщица-рапиристка.,Isabelle Boéri-Bégard  es una esgrimista francesa.,Q557494,Isabelle Boéri-Bégard,['fencer'],female,https://en.wikipedia.org/wiki/Isabelle_Bo%C3%A9ri-B%C3%A9gard
49,She won a gold medal in the women's team foil event at the 1980 Summer Olympics.,أحرزت الميدالية الذهبية في مسابقة المبارزة للسيدات في دورة الالعاب الاولمبية الصيفية لعام 1980 .,В 1980 году стала чемпионкой Олимпийских игр в Москве в командном первенстве.,Ella ganó una medalla de oro en el evento de florete por equipos femenino en los Juegos Olímpicos de Verano de 1980.,Q557494,Isabelle Boéri-Bégard,['fencer'],female,https://en.wikipedia.org/wiki/Isabelle_Bo%C3%A9ri-B%C3%A9gard
50,"Adelina Rustemovna Zagidullina  is a Russian right-handed foil fencer, two-time team European champion, two-time team world champion, and 2021 team Olympic champion.",أديلينا رستموفنا زاغيدولينا هي مبارزة روسية اختصاص سيف الشيش في اليد اليمني، وعضو في فريق بطل أوروبا مرتين وعضو فريق بطل العالم مرتين ، وبطلة أولمبية لعام 2021.,"Аделина Рустемовна Загидулинна —  русская праворукая фехтовальщица-рапиристка, двукратная чемпионка мира и Европы  в командном первенстве, и Олимпийская чемпионка 2021 года.","Adelina Rustemovna Zagidullina es una esgrimista rusa diestra, dos veces campeona con europea por equipos, dos veces campeona mundial por equipos y campeona olímpica por equipos en 2021.",Q20664430,Adelina Zagidullina,['fencer'],female,https://en.wikipedia.org/wiki/Adelina_Zagidullina
51,Jenny Addams  was a Belgian fencer.,جيني آدامز هي مبارزة بالسيف بلجيكية.,Дженни Мари Беатрис Аддамс была бельгийская фехтовальщицей.,Jenny Addams fue una esgrimista belga.​,Q3807900,Jenny Addams,['fencer'],female,https://en.wikipedia.org/wiki/Jenny_Addams
52,Choi Eun-Sook  is a South Korean épée fencer.,تشوي أون سوك هي مبارزة بالسلاح بسيف المبارزة من كوريا الجنوبية.,Чхве Ын Сук  — южнокорейская фехтовальщица на шпагах.,Choi Eun-Sook es un esgrimista de espada de Corea del Sur.,Q2964329,Choi Eun-sook,['fencer'],female,https://en.wikipedia.org/wiki/Choi_Eun-sook
53,"Beatrice Maria Adelaide Marzia Vio , better known as Bebe Vio, is an Italian wheelchair fencer, the 2014 and 2016 European champion, 2015 and 2017 World champion, and 2016 and 2020 Paralympic champion in the foil B category.",بياتريس ماريا أديلايد مارزيا فيو، المعروفة باسم بيبي فيو هي مبارزة على كرسي متحرك إيطالي، بطلة أوروبا لعامي 2014 و2016، بطلة العالم لعامي 2015 و2017، وبطلة الألعاب البارالمبية لعام 2016 في فئة ب لسيف الشيش.,"Беатриче Мария Аделаида Марция Вио, известная как Бебе Вио  — итальянская фехтовальщица-колясочница, чемпионка Европы 2014 и 2016 гг., мировая чемпионка 2015 и 2017 гг. и Параолимпийская чемпионка 2016 и 2020 гг. в категории B.","Beatrice Maria Adelaide Marzia Vio, más conocida como Bebe Vio, es una esgrimista italiana en silla de ruedas, campeona de Europa de 2014 y 2016, campeona del mundo de 2015 y 2017 y campeona paralímpica de 2016 y 2020 en la categoría de florete B.",Q3637275,Beatrice Vio,['fencer'],female,https://en.wikipedia.org/wiki/Beatrice_Vio
54,He won a gold medal in the team épée event at the 1988 Summer Olympics.,حصل على الميدالية الذهبية في فريق épée في الألعاب الأولمبية الصيفية 1988.,В 1988 году он стал обладателем золотой медали Олимпийских игр в Сеуле в командном первенстве на шпагах.,Ganó una medalla de oro en el evento de espada por equipos en los Juegos Olímpicos de Verano de 1988.,Q2360685,Frédéric Delpla,['fencer'],male,https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Delpla
55,Frédéric Delpla  is a French fencer.,فريديريك ديلبلا هو مبارز بالسيف فرنسي.,Фредерик Дельпла  — французский фехтовальщик-шпажист.,Frédéric Delpla  es un esgrimista francés.,Q2360685,Frédéric Delpla,['fencer'],male,https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Delpla
56,He won a silver and a bronze medal at the 1920 Summer Olympics and a silver at the 1928 Summer Olympics.,حصل على ميدالية فضية وميدالية برونزية في دورة الألعاب الأولمبية الصيفية 1920، وحصل أيضا على ميدالية فضية في دورة الألعاب الأولمبية الصيفية 1928.,В 1920 году он выиграл серебряную и бронзовую медаль в Олимпийских играх 1920 г. и серебро в 1928 г.,Ganó una medalla de plata y una de bronce en los Juegos Olímpicos de Verano de 1920 y una medalla de plata en los Juegos Olímpicos de Verano de 1928.,Q735500,Gaston Amson,['fencer'],male,https://en.wikipedia.org/wiki/Gaston_Amson
