,English,Swahili,Wikidata,entity_name,occupation_name,gender,url
194,She was the second child and daughter of Emperor Nicholas II and Empress Alexandra.,Alikuwa mtoto wa pili wa kaisari Nikola II wa Urusi na mkewe Alexandra,Q158148,Grand Duchess Tatiana Nikolaevna of Russia,aristocrat,female,https://en.wikipedia.org/wiki/Grand_Duchess_Tatiana_Nikolaevna_of_Russia
195,"The couple have two children, MÃ¤rtha Louise and Haakon.","Wana watoto wawili, MÃ¤rtha Louise na Haakon Magnus .",Q57287,Harald V of Norway,aristocrat,male,https://en.wikipedia.org/wiki/Harald_V_of_Norway
196,His feast day is January 19.,Sikukuu yake huadhimishwa tarehe 19 Januari.,Q975560,Remigius of Rouen,aristocrat,male,https://en.wikipedia.org/wiki/Remigius_of_Rouen
197,He was also the third archbishop of Rouen from 755 to 772.,Alikuwa pia askofu mkuuwa tatu wa Rouen miaka 755-762.,Q975560,Remigius of Rouen,aristocrat,male,https://en.wikipedia.org/wiki/Remigius_of_Rouen
198,He was instrumental in implementing the Roman rite and chant in the Gallic church.,Alichangia sana kueneza liturujia ya Roma katika kanisa la Galia.,Q975560,Remigius of Rouen,aristocrat,male,https://en.wikipedia.org/wiki/Remigius_of_Rouen
199,He is regarded as a saint and his feast day is kept on 9 April.,Anajulikana kama mtakatifu na sikukuu yake huadhimishwa tarehe 9 Aprili.,Q975981,Hugh of Champagne,aristocrat,male,https://en.wikipedia.org/wiki/Hugh_of_Rouen_(died_730)
181,Doris Jean Austin  was an American author and journalist.,Doris Jean Austin alikuwa mwandishi wa habari na mwandishi wa vitabu wa nchini Marekani.,Q5297948,Doris Jean Austind,author,female,https://en.wikipedia.org/wiki/Doris_Jean_Austin
182,She gave birth to her first child at the age of sixteen.,Alifanikiwa kupata mtoto wa kwanza akiwa na umri wa miaka kumi na sita.,Q11297166,Khady Koita,author,female,https://en.wikipedia.org/wiki/Khady_Koita
183,"One year later, she was forced to emigrate to France, and lived with her cousin during sixteen years.","Mwaka mmoja baadaye, alilazimika kuhamia nchini Ufaransa, ambapo aliishi na binamu yake kwa kipindi cha miaka 16.",Q11297166,Khady Koita,author,female,https://en.wikipedia.org/wiki/Khady_Koita
184,"Suffering from violence, Khady managed to flee with her children and divorced in 1988.",Kutokana na kuteseka kwa vurugu za ndoa Khady aliweza kuondoka na watoto wake na baadae akapatiwa talaka mwaka 1988.,Q11297166,Khady Koita,author,female,https://en.wikipedia.org/wiki/Khady_Koita
185,Pope Cornelius was the bishop of Rome from 6 or 13 March 251 to his martyrdom in June 253.,Papa Kornelio alikuwa Papa kuanzia tarehe 6 au 13 Machi 251 hadi kifodini chake mwezi wa Juni 253.,Q54798,Cornelius,author,male,https://en.wikipedia.org/wiki/Pope_Cornelius
186,His feast day is August 7.,Sikukuu yake huadhimishwa tarehe 7 Agosti.,Q1288238,Victricius,author,male,https://en.wikipedia.org/wiki/Victricius
187,He became bishop of Rouen around 386 or 393.,Alikuwa askofu wa Rouen kuanzia mwaka 386 au 393 .,Q1288238,Victricius,author,male,https://en.wikipedia.org/wiki/Victricius
188,"However, when he became a Christian, he refused to remain in the army.","Walakini, alikuwa mkristo na akakataa kubaki katika jeshi",Q1288238,Victricius,author,male,https://en.wikipedia.org/wiki/Victricius
356,In 2011 she was named a MacArthur Fellow and she won the Pulitzer Prize.,Mwaka wa 2011 alipokea Tuzo ya Pulitzer ya Ushairi.,Q276423,Kay Ryan,author,female,https://en.wikipedia.org/wiki/Kay_Ryan
357,"Her first book, Left to Tell: Discovering God Amidst the Rwandan Holocaust , is an autobiographical work detailing how she survived during the Rwandan genocide.",Kitabu chake cha kwanza ni Left to Tell: Discovering God Amidst the Rwandan Holocaust kilichotoka mwaka 2006; ni kitabu kinachoelezea matukio ya mauaji ya kimbari ya mwaka 1994.,Q437786,Immaculée Ilibagiza,author,female,https://en.wikipedia.org/wiki/Immacul%C3%A9e_Ilibagiza
358,ImmaculÃ©e Ilibagiza  is a Rwandan American author and motivational speaker.,Immaculee Ilibagiza ni Mmarekani wa Rwanda ambaye ni mhamasishaji na mwandishi wa vitabu,Q437786,Immaculée Ilibagiza,author,female,https://en.wikipedia.org/wiki/Immacul%C3%A9e_Ilibagiza
359,"Another Year in Africa is set in a fictional town of Mayfontein, near Johannesburg in the late 1930s and early 1940s.","Mwaka Mwingine Barani Afrika umewekwa katika mji wa uwongo wa Mayfontein, karibu na Johannesburg mwishoni mwa miaka ya 1930 na mapema miaka ya 1940.",Q1712022,Rose Zwi,author,female,https://en.wikipedia.org/wiki/Rose_Zwi
360,"She became an Australian citizen in 1992 and lived in Sydney, New South Wales.","Alipata kuwa raia wa Australia mnamo 1992 na aliishi Sydney, New South Wales.",Q1712022,Rose Zwi,author,female,https://en.wikipedia.org/wiki/Rose_Zwi
361,In 1967 Zwi graduated from the University of Witwatersrand  with a BA  in English literature.,Mnamo mwaka 1967 Zwi alihitimu kutoka Chuo Kikuu cha Witwatersrand na BA katika fasihi ya Kiingereza v,Q1712022,Rose Zwi,author,female,https://en.wikipedia.org/wiki/Rose_Zwi
362,"Zwi lived briefly in Israel, but returned to South Africa until 1988 when she relocated to Australia.","Zwi aliishi kwa muda mfupi huko Israeli, lakini alirudi Afrika Kusini hadi 1988 alipohamia Australia.",Q1712022,Rose Zwi,author,female,https://en.wikipedia.org/wiki/Rose_Zwi
363,Pope Zosimus was the bishop of Rome from 18 March 417 to his death on 26 December 418.,Papa Zosimus alikuwa Papa kuanzia tarehe 18 Machi 417 hadi kifo chake tarehe 26 Desemba 418.,Q162571,Zosimus,author,male,https://en.wikipedia.org/wiki/Pope_Zosimus
364,Ralph Barton Perry  was an American philosopher.,Ralph Barton Perry alikuwa mwanafalsafa na mwandishi kutoka nchi ya Marekani.,Q32679,Ralph Barton Perry,author,male,https://en.wikipedia.org/wiki/Ralph_Barton_Perry
365,"He wrote a celebrated biography of William James, which won the 1936 Pulitzer Prize for Biography or Autobiography, and proceeded to a revision of his critical approach to natural knowledge.","Mwaka wa 1936, alipokea Tuzo ya Pulitzer ya Wasifu kwa wasifu yake ya William James.",Q32679,Ralph Barton Perry,author,male,https://en.wikipedia.org/wiki/Ralph_Barton_Perry
366,"William Rose BenÃ©t  was an American poet, writer, and editor.","William Rose BenÃ©t alikuwa mshairi, mwandishi na mhariri kutoka nchi ya Marekani.",Q2580418,William Rose Benét,author,male,https://en.wikipedia.org/wiki/William_Rose_Ben%C3%A9t
367,"He was educated The Albany Academy in Albany, NY and at Sheffield Scientific School of Yale University, graduating with a Ph.B.","Alipata elimu katika shule ya The Albany Academy, Albany, baadaye Sheffield Scientific School ya Yale University alipokuwa akiandika mashairi katika majarida ya chuo.",Q2580418,William Rose Benét,author,male,https://en.wikipedia.org/wiki/William_Rose_Ben%C3%A9t
368,He began the Saturday Review of Literature in 1924 and continued to edit and write for it until his death.,Mwaka 1924 alianza kufanya tahakiki ya mashairi katika magazeti na kuyahariri mpaka alipofikwa na mauti.,Q2580418,William Rose Benét,author,male,https://en.wikipedia.org/wiki/William_Rose_Ben%C3%A9t
369,"He was born in Brooklyn, New York, the son of Col. James Walker BenÃ©t and his wife, Frances Neill , and grandson of Brigadier General Stephen Vincent BenÃ©t.","Wiliama Benet alizaliwa jijini New York, akiwa mtoto wa kanali wa jeshi James Walker BenÃ©t na mke wake, Frances Neill , ni mjukuu wa brigedia wa jeshi la Marekani Stephen Vincent Benet.",Q2580418,William Rose Benét,author,male,https://en.wikipedia.org/wiki/William_Rose_Ben%C3%A9t
498,She won the  Pulitzer Prize in 1985.,Mwaka wa 1985 alipokea Tuzo ya Pulitzer ya Ushairi.,Q440064,Carolyn Kizer,author,female,https://en.wikipedia.org/wiki/Carolyn_Kizer
499,Carolyn Ashley Kizer  was an American poet of the Pacific Northwest whose works reflect her feminism.,Carolyn Ashley Kizer alikuwa mshairi wa kike kutoka nchi ya Marekani ambae kazi zake huakisi ufeministi,Q440064,Carolyn Kizer,author,female,https://en.wikipedia.org/wiki/Carolyn_Kizer
500,Jonker also obtained a doctorate with honours in Afrikaans literature.,Hasa aliandika mashairi kwa lugha ya Kiafrikaans.,Q455266,Ingrid Jonker,author,female,https://en.wikipedia.org/wiki/Ingrid_Jonker
501,"On both sides of the family, the ancestors of Ingrid Jonker had lived in South Africa for centuries.","Pande zote za familia, mababu wa Ingrid Jonker waliishi Afrika Kusini kwa karne nyingi",Q455266,Ingrid Jonker,author,female,https://en.wikipedia.org/wiki/Ingrid_Jonker
502,In 1951 she was awarded the National Literature Prize in Chile.,Mwaka wa 1951 alikuwa mshindi wa Tuzo ya Nobel ya Fasihi huko Chile,Q80871,Gabriela Mistral,author,female,https://en.wikipedia.org/wiki/Gabriela_Mistral
503,Gabriela Mistral has been an influential part for Latin American Poetry.,Gabriela Mistral alikuwa mshahiri mashuhuri huko Marekani ya Kilatini,Q80871,Gabriela Mistral,author,female,https://en.wikipedia.org/wiki/Gabriela_Mistral
504,"Lucila Godoy Alcayaga , known by her pseudonym Gabriela Mistral , was a Chilean poet-diplomat, educator and humanist.",Jina lake la kuzaliwa lilikuwa Lucila Godoy Alcayaga.,Q80871,Gabriela Mistral,author,female,https://en.wikipedia.org/wiki/Gabriela_Mistral
505,Williams was executed in 2005.,Williams aliuawa mnamo mwaka 2005.,Q4858742,Barbara Becnel,author,female,https://en.wikipedia.org/wiki/Barbara_Becnel
506,"More than 3,000 people attended Williams' memorial service.","Zaidi ya watu 3,000 walihudhuria ibada ya kumbukumbu ya Williams.",Q4858742,Barbara Becnel,author,female,https://en.wikipedia.org/wiki/Barbara_Becnel
507,"Her campaign attracted media attention, and she raised enough money in the last week of the campaign to run television and radio commercials.","Kampeni yake ilivutia umakini wa vyombo vya habari , na akapata pesa za kutosha katika wiki ya mwisho ya kampeni ya kuendesha matangazo ya luninga na redio.",Q4858742,Barbara Becnel,author,female,https://en.wikipedia.org/wiki/Barbara_Becnel
508,"Barbara Cottman Becnel  is an American author, journalist, and film producer.","Barbara Cottman Becnel ni mwamerika mwandishi wa vitabu, mwandishi wa habari na mtengenezaji filamu.",Q4858742,Barbara Becnel,author,female,https://en.wikipedia.org/wiki/Barbara_Becnel
509,Becnel was in attendance at Williams' execution as one of his chosen witnesses.,Becnel alikuwa akihudhuria mauaji ya Williams kama mmoja wa mashahidi wake waliochaguliwa.,Q4858742,Barbara Becnel,author,female,https://en.wikipedia.org/wiki/Barbara_Becnel
510,"In the first weeks of 2007 Barbara left the Democratic Party and joined the Green Party of California, the state affiliate of the Green Party .","Katika wiki za kwanza za 2007 Barbara alihama Chama cha Democratic na akajiunga na Green Party ya California, mshirika wa serikali wa Green Party .",Q4858742,Barbara Becnel,author,female,https://en.wikipedia.org/wiki/Barbara_Becnel
511,"After he was pronounced dead, she, along with two of his friends, television executive Shirley Neal and movie producer Rudy Langlais, stood up and yelled that California had executed an innocent man.","Baada ya kutangazwa kuwa amekufa, yeye, pamoja na marafiki zake wawili, mtendaji wa televisheni Shirley Neal na mtayarishaji wa sinem Rudy Langlais, walisimama na kupiga kelele kwamba California imemuua mtu asiye na hatia.",Q4858742,Barbara Becnel,author,female,https://en.wikipedia.org/wiki/Barbara_Becnel
512,"When asked why she joined the Green Party, Becnel responded, ""The Green Party is right on the issues--no ifs, ands, or buts.""","Alipoulizwa ni kwanini alijiunga na Chama cha Kijani, Becnel alijibu, ""Chama cha Kijani kiko sawa juu ya maswala - hapana ifs, ands, au buts.""",Q4858742,Barbara Becnel,author,female,https://en.wikipedia.org/wiki/Barbara_Becnel
513,"On Sunday, June 25, 2006, Becnel and Neal released Williams' ashes into a lake in Thokoza Park, located in the black township of Soweto, Johannesburg, South Africa.","Jumapili, Juni 25, 2006, Becnel na Neal walitoa majivu ya Williams ndani ya ziwa katika Thokoza Park, iliyoko katika mji mweusi wa Soweto, Johannesburg, Afrika Kusini.",Q4858742,Barbara Becnel,author,female,https://en.wikipedia.org/wiki/Barbara_Becnel
514,"Joseph A. Kramm  was an American playwright, actor, and director.",Joseph A. Kramm alikuwa mwandishi kutoka nchi ya Marekani.,Q1674099,Joseph Kramm,author,male,https://en.wikipedia.org/wiki/Joseph_Kramm
515,"He received the Pulitzer Prize for Drama in 1951 for his play The Shrike, later adapted into a motion picture of the same title in 1955.","Mwaka wa 1952, alipokea Tuzo ya Pulitzer ya Tamthiliya kwa tamthiliya yake The Shrike.",Q1674099,Joseph Kramm,author,male,https://en.wikipedia.org/wiki/Joseph_Kramm
516,Jesse Lynch Williams  was an American author and dramatist.,Jesse Lynch Williams alikuwa mwandishi kutoka nchi ya Marekani.,Q1688174,Jesse Lynch Williams,author,male,https://en.wikipedia.org/wiki/Jesse_Lynch_Williams
517,He won the first Pulitzer Prize for Drama for his play Why Marry?,"Mwaka wa 1918, alikuwa mtu wa kwanza kupokea Tuzo ya Pulitzer ya Tamthiliya kwa tamthiliya yake Why Marry?",Q1688174,Jesse Lynch Williams,author,male,https://en.wikipedia.org/wiki/Jesse_Lynch_Williams
518,"In 2003, Muldoon won the Pulitzer Prize for Poetry.",Mwaka wa 2003 alipokea Tuzo ya Pulitzer ya Ushairi.,Q2061388,Paul Muldoon,author,male,https://en.wikipedia.org/wiki/Paul_Muldoon
519,Their marriage broke up in 1977.,Ndoa yao ilivunjika mwaka 1987.,Q2061388,Paul Muldoon,author,male,https://en.wikipedia.org/wiki/Paul_Muldoon
520,"Muldoon's work is often compared with Heaney, a fellow Northern Irish poet, friend and mentor to Muldoon.",Paul Muldoon ni mshairi kutoka nchi ya Ueire.,Q2061388,Paul Muldoon,author,male,https://en.wikipedia.org/wiki/Paul_Muldoon
521,He has received the President Award in Algeria for his writing.,pia alipokea Tuzo ya Urais nchini Algeria kwa uandishi yake.,Q4664927,Abderrazak Boukebba,author,male,https://en.wikipedia.org/wiki/Abderrazak_Boukebba
522,"Initially, he worked as a consultant to the Algerian National Library before moving on to become an editor of television and radio programmes.","Mwanzoni, alifanya kazi kama mshauri wa Maktaba ya Kitaifa ya Algeria kabla ya kuendelea kuwa mhariri wa televisheni na vipindi vya redio.",Q4664927,Abderrazak Boukebba,author,male,https://en.wikipedia.org/wiki/Abderrazak_Boukebba
523,"As an author, Boukebba has published short story collections, volumes of poetry and novels.","Kama mwandishi, Boukebba amechapisha makusanyo ya hadithi fupi, ujazo wa mashairi na riwaya.",Q4664927,Abderrazak Boukebba,author,male,https://en.wikipedia.org/wiki/Abderrazak_Boukebba
524,"He studied literature at university, earning a BA degree in 1996.","Alisoma fasihi katika chuo kikuu, na kupatiwa digrii ya BA mnamo mwaka1996.",Q4664927,Abderrazak Boukebba,author,male,https://en.wikipedia.org/wiki/Abderrazak_Boukebba
525,His work appeared in translation in the Beirut39 anthology edited by Samuel Shimon.,Kazi yake ilionekana katika tafsiri katika hadithi ya Beirut iliyohaririwa na Samuel Shimon.,Q4664927,Abderrazak Boukebba,author,male,https://en.wikipedia.org/wiki/Abderrazak_Boukebba
526,"In 2009-10, he was selected as one of the most promising Arab authors under the age of 40 by the Beirut39 project conducted under the aegis of the Hay Festival.","Mnamo 2009, alichaguliwa kama mmoja wa waandishi wa Kiarabu walio na umri wa chini ya miaka 40 na mradi wa Beirut39 uliofanywa chini ya safu ya Tamasha la Hay.",Q4664927,Abderrazak Boukebba,author,male,https://en.wikipedia.org/wiki/Abderrazak_Boukebba
527,"In May 2010, Boukebba went on hunger strike to protest working conditions at ENTV, where he had worked for the previous five years as a producer and presenter of cultural programmes.","Mnamo Mei 2010, Boukebba aligoma kulaani mazingira ya kufanya kazi katika ENTV, ambapo alikuwa amefanya kazi kwa takriban miaka mitano iliyopita kama mtayarishaji na mtangazaji wa programu za kitamaduni.",Q4664927,Abderrazak Boukebba,author,male,https://en.wikipedia.org/wiki/Abderrazak_Boukebba
528,He has worked for Algeria's national broadcaster ENTV.,Pia amefanya kazi kama mtangazaji wa kitaifa wa Algeria ENTV.,Q4664927,Abderrazak Boukebba,author,male,https://en.wikipedia.org/wiki/Abderrazak_Boukebba
529,He was born in a village called Awlad J'hish in eastern Algeria.,Alizaliwa katika kijiji kiitwacho Awlad J'hish mashariki mwa nchini Algeria.,Q4664927,Abderrazak Boukebba,author,male,https://en.wikipedia.org/wiki/Abderrazak_Boukebba
604,She then trained as a social worker .,Alikuwa mwalimu wa shule ya msingi na kuifanyia kazi mambo ya jamii.,Q3671997,Ellen Kuzwayo,author,female,https://en.wikipedia.org/wiki/Ellen_Kuzwayo
605,"Nnoseng Ellen Kate Kuzwayo  was a women's rights activist and politician in South Africa, and was a teacher from 1938 to 1952.",Ellen Kuzwayo alikuwa mwandishi wa Afrika Kusini.,Q3671997,Ellen Kuzwayo,author,female,https://en.wikipedia.org/wiki/Ellen_Kuzwayo
606,"She worked as a freelance journalist for ten years, including two years in New York and Chicago.","Alifanya kazi kama mwandishi wa habari wa kujitegemea kwa miaka kumi, pamoja na miaka miwili huko New York na Chicago.",Q664673,Lauren Beukes,author,female,https://en.wikipedia.org/wiki/Lauren_Beukes
607,Beukes currently lives in Cape Town.,Beukes kwa sasa anaishi Cape Town.,Q664673,Lauren Beukes,author,female,https://en.wikipedia.org/wiki/Lauren_Beukes
608,"The film rights have been optioned by South African producer, Helena Spring.","Haki za filamu zimechaguliwa na mtayarishaji wa Afrika Kusini, Helena Spring.",Q664673,Lauren Beukes,author,female,https://en.wikipedia.org/wiki/Lauren_Beukes
609,"She won ""Best Columnist Western Cape"" in the Vodacom Journalist of the Year Awards in 2007 and 2008.","Alishinda ""Columnist Best Western Cape"" katika Tuzo za Mwandishi wa Habari wa Vodacom mnamo 2007 na 2008.",Q664673,Lauren Beukes,author,female,https://en.wikipedia.org/wiki/Lauren_Beukes
610,His first-hand experiences of civil war in Nigeria are said to have inspired many of his works.,Uzoefu wake wa kwanza wa moja kwa moja wa vita vya wenywe kwa wenyewe nchini Nigeria unasemekana kumpa msukumo wa kuandika viotabu vyake vingi.,Q315362,Ben Okri,author,male,https://en.wikipedia.org/wiki/Ben_Okri
611,"Since the publication in 1980 of his first novel, Flowers and Shadows, Okri has risen to an international acclaim, and he often is described as one of Africa's leading writers.","Tangu achapishe riwaya yake ya kwanza, Flowers and Shadows , umaarufu wa Okri umeenea Duniani kote, na mara nyingi hutazamwa kama mmoja wa waandishi wazuri zaidi wa Afrika.",Q315362,Ben Okri,author,male,https://en.wikipedia.org/wiki/Ben_Okri
612,Saul Bellow  was a Canadian-born American writer.,"Saul Bellow alikuwa mwandishi kutoka nchi ya Marekani, mzaliwa wa Kanada",Q83059,Saul Bellow,author,male,https://en.wikipedia.org/wiki/Saul_Bellow
613,"Bellow returned to his exploration of mental instability, and its relationship to genius, in his 1975 novel Humboldt's Gift.","Mwaka wa 1976 alipokea Tuzo ya Pulitzer ya Bunilizi kwa ajili ya riwaya yake ""Kipaji cha Humboldt"" iliyotolewa mwaka wa 1975.",Q83059,Saul Bellow,author,male,https://en.wikipedia.org/wiki/Saul_Bellow
614,But so what?,Kwa hiyo?,Q83059,Saul Bellow,author,male,https://en.wikipedia.org/wiki/Saul_Bellow
615,"Propelled by the success of Humboldt's Gift, Bellow won the Nobel Prize in literature in 1976.",Mwaka uleule wa 1976 alikuwa mshindi wa Tuzo ya Nobel ya Fasihi.,Q83059,Saul Bellow,author,male,https://en.wikipedia.org/wiki/Saul_Bellow
713,"Edna Ann Proulx  is an American novelist, short story writer, and journalist.",Edna Ann Proulx ni mwandishi wa kike kutoka nchi ya Marekani.,Q229840,Annie Proulx,author,female,https://en.wikipedia.org/wiki/Annie_Proulx
714,She has written most frequently as Annie Proulx but has also used the names E. Annie Proulx and E.A.,Hasa ameandika chini ya jina Annie Proulx lakini ametumia majina E. Annie Proulx na E.A.,Q229840,Annie Proulx,author,female,https://en.wikipedia.org/wiki/Annie_Proulx
715,Heloise Ruth First  was a South African anti-apartheid activist and scholar.,Ruth First alikuwa mwanaharakati na mwanashule wa Afrika Kusini.,Q454997,Ruth First,author,female,https://en.wikipedia.org/wiki/Ruth_First
716,"In 1945, Chase won the Pulitzer Prize in Drama for Harvey.","Mwaka wa 1945, alipokea Tuzo ya Pulitzer ya Tamthiliya kwa tamthiliya yake Harvey.",Q1906238,Mary Chase,author,female,https://en.wikipedia.org/wiki/Mary_Chase_(playwright)
717,His work The True Confessions of an Albino Terrorist describes aspects of his imprisonment.,"Kitabu chake cha wasifu, jina lake The True Confessions of an Albino Terrorist, kinaeleza miaka hiyo yake katika jela.",Q364207,Breyten Breytenbach,author,male,https://en.wikipedia.org/wiki/Breyten_Breytenbach
718,On an illegal trip to South Africa in 1975 he was arrested and sentenced to nine years' imprisonment for high treason.,Alipotembelea nchi yake ya asili mwaka wa 1975 alitiwa ndani kwa miaka saba kwa vile kule Ufaransa alifunga ndoa na mke wa asili ya Vietnam.,Q364207,Breyten Breytenbach,author,male,https://en.wikipedia.org/wiki/Breyten_Breytenbach
719,He was the first Hungarian to win the Nobel in Literature.,Alikuwa mshindi wa kwanza wa Kihungaria wa Tuzo ya Nobel ya Fasihi.,Q47755,Imre Kertész,author,male,https://en.wikipedia.org/wiki/Imre_Kert%C3%A9sz
720,"His biography of Grover Cleveland won the 1933 Pulitzer Prize for Biography or Autobiography, as did his biography of Hamilton Fish four years later.","Alipokea Tuzo ya Pulitzer ya Wasifu mara mbili, kwanza mwaka wa 1933 kwa wasifu yake ya Grover Cleveland, tena mwaka 1937 kwa wasifu yake ya Hamilton Fish.",Q3380712,Allan Nevins,author,male,https://en.wikipedia.org/wiki/Allan_Nevins
79,She is an honorary member of Alpha Kappa Alpha.,Yeye ni mwanachama mheshimiwa wa Alpha Kappa Alpha.,Q4884845,Belva Davis,autobiographer,female,https://en.wikipedia.org/wiki/Belva_Davis
80,"When I got older, I just figured I could become whatever it was that I needed to become.""","Na wakati nilipokuwa mzee, niligundua kuwa ninaweza kuwa chochote kile ambacho ningehitaji kuwa.""",Q4884845,Belva Davis,autobiographer,female,https://en.wikipedia.org/wiki/Belva_Davis
81,She received $5 per piece with no byline.,Alipokea $ 5 kwa kila kipande bila mstari.,Q4884845,Belva Davis,autobiographer,female,https://en.wikipedia.org/wiki/Belva_Davis
82,"And, as I moved from place to place, I learned to adapt.","Na nilipokuwa nikihama kutoka sehemu moja kwenda sehemu nyingine , nilijifunza kukabiliana",Q4884845,Belva Davis,autobiographer,female,https://en.wikipedia.org/wiki/Belva_Davis
83,"Within a few years, she began reporting on radio and television.","Ndani ya miaka michache, alianza kuripoti kwenye redio na televisheni.",Q4884845,Belva Davis,autobiographer,female,https://en.wikipedia.org/wiki/Belva_Davis
84,"By the late 1940s, her parents were able to afford a house in Berkeley, California.","Mwishoni mwa miaka ya 1940, wazazi wake waliweza kumudu nyumba huko Berkeley, California.",Q4884845,Belva Davis,autobiographer,female,https://en.wikipedia.org/wiki/Belva_Davis
85,"She became an anchorwoman and hosted her own talk show, before retiring in 2012.",Alikuwa mwanamke wa kwanza kuandaa kipidi chake mwenyewe cha mazungumzo kabla ya kustahafu mnamo mwaka 2012.,Q4884845,Belva Davis,autobiographer,female,https://en.wikipedia.org/wiki/Belva_Davis
86,"After growing up in Oakland, California, Davis began writing freelance articles for magazines in 1957.","Baada ya kukua katika mji wa Oakland, California, Davis alianza kuandika makala za kujitegemea katika majarida mnamo mwaka 1957.",Q4884845,Belva Davis,autobiographer,female,https://en.wikipedia.org/wiki/Belva_Davis
87,"She went to work as a typist at the Oakland Naval Supply Depot, earning $2,000 a year.","Alienda kufanya kazi kama mchapishaji huko Oakland Naval Supply Depot, akipata $2,000 kwa mwaka.",Q4884845,Belva Davis,autobiographer,female,https://en.wikipedia.org/wiki/Belva_Davis
88,"Davis later said about her youth, ""I learned to survive.","Baadaye Davis aliongea juu ya ujana wake na kusema , ""Nilijifunza kuishi.",Q4884845,Belva Davis,autobiographer,female,https://en.wikipedia.org/wiki/Belva_Davis
89,"As a reporter, Davis covered many important events of the day, including issues of race, gender, and politics.","Kama mwandishi, Davis alishughulikia mada nyingi muhimu za siku, pamoja na masuala ya ubaguzi rangi, jinsia, na siasa.",Q4884845,Belva Davis,autobiographer,female,https://en.wikipedia.org/wiki/Belva_Davis
90,"Davis met her second husband, Bill Moore, in 1967 while working at KPIX-TV.","Davisi alikutana na mume wake wa pili ,Bill Moore mwaka 1967 alipokua anafanya kazi katika KPIX-TV.",Q4884845,Belva Davis,autobiographer,female,https://en.wikipedia.org/wiki/Belva_Davis
